
I — я | I am here. | Я здесь.
yes — да | Say yes soon. | Скажи «да» вскоре.
clear — ясный | Sky is clear. | Небо ясное.
equation — уравнение | Solve this equation. | Реши это уравнение.
yet — ещё | Not finished yet. | Ещё не завершено.
government — правительство | Government changed laws. | Правительство изменило законы.
filled — заполненный | Glass filled fully. | Стакан полностью заполнен.
heat — нагревать | Heat the water. | Нагрей воду.
full — полный | The box is full. | Коробка полная.
hot — горячий | Coffee is hot. | Кофе горячий.
check — проверять | Check your work. | Проверь свою работу.
object — объект | Move the object. | Перемести объект.
am — являюсь | I am ready. | Я готов.
rule — правило | Follow the rule. | Следуй правилу.
among — среди | Sit among friends. | Сядь среди друзей.
noun — существительное | “Dog” is noun. | «Dog» — существительное.
power — власть | Knowledge is power. | Знание — сила.
cannot — не могу | I cannot wait. | Я не могу ждать.
able — способный | She is able. | Она способна.
size — размер | Choose right size. | Выбери правильный размер.
dark — тёмный | Street is dark. | Улица тёмная.
ball — мяч | Kick the ball. | Ударь мяч.
material — материал | What material this? | Из какого это материала?
special — особенный | Today is special. | Сегодня особенный день.
heavy — тяжёлый | Bag feels heavy. | Сумка тяжёлая.
fine — отлично | You did fine. | Ты сделал отлично.
pair — пара | Need a pair. | Нужна пара.
circle — круг | Draw a circle. | Нарисуй круг.
include — включать | Include your name. | Включи своё имя.
built — построен | Bridge built fast. | Мост построен быстро.
can't — не мочь | I can't move. | Я не могу двигаться.
matter — иметь значение | Details matter. | Детали имеют значение.
square — квадрат | Cut a square. | Вырежи квадрат.
syllables — слоги | Count three syllables. | Посчитай три слога.
perhaps — возможно | Perhaps later. | Возможно позже.
bill — счёт | Pay the bill. | Оплати счёт.
felt — чувствовал | She felt cold. | Она чувствовала холод.
suddenly — внезапно | It stopped suddenly. | Это внезапно остановилось.
test — тест | Pass the test. | Пройди тест.
direction — направление | Change direction now. | Измени направление сейчас.
center — центр | Meet at center. | Встреться в центре.
farmers — фермеры | Farmers grow wheat. | Фермеры выращивают пшеницу.
ready — готовый | Dinner is ready. | Ужин готов.
anything — что‑либо | Need anything else? | Нужен ли ещё что‑нибудь?
divided — разделённый | Room divided equally. | Комната поделена поровну.
general — общий | General opinion positive. | Общее мнение положительное.
energy — энергия | Save your energy. | Сбереги энергию.
subject — предмет | Math is subject. | Математика — предмет.
Europe — Европа | Europe is large. | Европа большая.
moon — луна | The moon shines. | Луна светит.
region — регион | This region grows rice. | В этом регионе выращивают рис.
return — возвращаться | Return soon, please. | Пожалуйста, вернись скоро.
believe — верить | I believe you. | Я верю тебе.
dance — танцевать | They dance together. | Они танцуют вместе.
members — члены | Team members met. | Члены команды встретились.
picked — выбрал | She picked red. | Она выбрала красное.
simple — простой | The task is simple. | Задание простое.
cells — клетки | Blood has cells. | В крови есть клетки.
paint — краска | Mix the paint. | Смешай краску.
mind — разум | Free your mind. | Освободи свой разум.
love — любовь | Love conquers all. | Любовь побеждает всё.
cause — причина | Find the cause. | Найди причину.
rain — дождь | Rain is falling. | Идёт дождь.
exercise — упражнение | Do morning exercise. | Делай утреннюю зарядку.
eggs — яйца | Boil the eggs. | Свари яйца.
train — тренироваться | He will train daily. | Он будет тренироваться ежедневно.
blue — синий | The sky is blue. | Небо синее.
wish — желание | Make a wish. | Загадай желание.
drop — уронить | Don't drop it. | Не урони это.
developed — развитый | City is developed. | Город развит.
window — окно | Open the window. | Открой окно.
difference — разница | Spot the difference. | Найди разницу.
distance — расстояние | Keep distance please. | Держи дистанцию, пожалуйста.
heart — сердце | Her heart beats. | Её сердце бьётся.
sit — сидеть | Sit down here. | Сядь здесь.
sum — сумма | Calculate the sum. | Вычисли сумму.
summer — лето | Summer is hot. | Лето жаркое.
wall — стена | Paint the wall. | Покрась стену.
forest — лес | Walk through forest. | Пройдись по лесу.
probably — вероятно | He will probably come. | Он вероятно придёт.
legs — ноги | Stretch your legs. | Разомни ноги.
sat — сел | She sat quietly. | Она тихо села.
main — основной | Main idea clear. | Основная идея ясна.
winter — зима | Winter feels cold. | Зима холодная.
wide — широкий | Road is wide. | Дорога широкая.
written — написано | It is written here. | Это написано здесь.
length — длина | Measure the length. | Измерь длину.
reason — причина | Give a reason. | Дай причину.
kept — хранил | He kept notes. | Он хранил записи.
interest — интерес | Show some interest. | Прояви интерес.
arms — руки | Raise your arms. | Подними руки.
brother — брат | My brother studies. | Мой брат учится.
race — раса | Humans are one race. | Люди — одна раса.
present — подарок | Open your present. | Открой подарок.
beautiful — красивый | The garden is beautiful. | Сад красивый.
store — магазин | Go to the store. | Иди в магазин.
job — работа | I like my job. | Мне нравится моя работа.
edge — край | Stand at edge. | Встань на край.
past — прошлое | Forget the past. | Забудь прошлое.
sign — знак | Read the sign. | Прочитай знак.
record — записывать | Record the video. | Запиши видео.
finished — законченный | Work is finished. | Работа завершена.
discovered — обнаруженный | Gold was discovered. | Золото было обнаружено.
wild — дикий | Wild animals roam. | Дикие животные бродят.
happy — счастливый | She feels happy. | Она чувствует себя счастливой.
beside — рядом | Sit beside me. | Сядь рядом со мной.
gone — ушёл | The cat is gone. | Кот ушёл.
sky — небо | Sky looks clear. | Небо ясное.
glass — стекло | Glass broke easily. | Стекло легко разбилось.
million — миллион | It costs million. | Это стоит миллион.
west — запад | The sun sets west. | Солнце садится на западе.
lay — класть | Lay the book here. | Положи книгу сюда.
weather — погода | The weather changed. | Погода изменилась.
root — корень | Pull out the root. | Вынь корень.
instruments — инструменты | Clean the instruments. | Почисть инструменты.
meet — встречаться | We meet today. | Мы встречаемся сегодня.
months — месяцы | Two months passed. | Прошло два месяца.
paragraph — абзац | Read the paragraph. | Прочитай абзац.
raised — поднятый | He raised hands. | Он поднял руки.
represent — представлять | Flags represent countries. | Флаги представляют страны.
soft — мягкий | The pillow is soft. | Подушка мягкая.
whether — ли | Decide whether to go. | Реши, идти ли.
clothes — одежда | Fold the clothes. | Сложи одежду.
flowers — цветы | Water the flowers. | Полей цветы.
shall — должен | Shall we start? | Нам начинать?
teacher — учитель | The teacher smiles. | Учитель улыбается.
held — держал | She held milk. | Она держала молоко.
describe — описывать | Describe the scene. | Опиши сцену.
drive — водить | I drive home. | Я еду домой.
cross — крест | Draw a cross. | Нарисуй крест.
speak — говорить | Speak louder, please. | Говори громче, пожалуйста.
solve — решать | Solve the puzzle. | Реши головоломку.
appear — появляться | Stars appear tonight. | Звёзды появляются сегодня.
metal — металл | Metal feels cold. | Металл холодный.
son — сын | His son laughed. | Его сын смеялся.
either — либо | Take either cup. | Возьми любую чашку.
ice — лёд | Ice melts fast. | Лёд быстро тает.
sleep — спать | Babies sleep well. | Младенцы хорошо спят.
village — деревня | The village sleeps. | Деревня спит.
factors — факторы | Many factors matter. | Важны многие факторы.
result — результат | Show the result. | Покажи результат.
jumped — прыгнул | The cat jumped. | Кот прыгнул.
snow — снег | Snow is falling. | Падает снег.
ride — поездка | Enjoy the ride. | Наслаждайся поездкой.
care — забота | I care deeply. | Я сильно забочусь.
floor — пол | Sweep the floor. | Подмети пол.
hill — холм | Climb the hill. | Взберись на холм.
pushed — толкнул | He pushed door. | Он толкнул дверь.
baby — малыш | The baby laughed. | Малыш засмеялся.
buy — купить | Buy fresh bread. | Купи свежий хлеб.
century — век | A century passed. | Прошёл век.
outside — снаружи | Wait outside now. | Подожди снаружи сейчас.
everything — всё | Everything is fine. | Всё хорошо.
tall — высокий | He is tall. | Он высокий.
already — уже | I already know. | Я уже знаю.
instead — вместо | Take tea instead. | Возьми чай вместо этого.
phrase — фраза | Learn the phrase. | Выучи фразу.
soil — почва | Fertile soil helps. | Плодородная почва помогает.
bed — кровать | Make the bed. | Заправь кровать.
copy — копировать | Copy this file. | Скопируй этот файл.
free — бесплатно | Water is free. | Вода бесплатна.
hope — надеяться | Never lose hope. | Никогда не теряй надежду.
spring — весна | Spring brings flowers. | Весна приносит цветы.
case — случай | In this case. | В этом случае.
laughed — рассмеялся | She laughed loudly. | Она громко рассмеялась.
nation — нация | The nation votes. | Нация голосует.
quite — довольно | Quite good work. | Довольно хорошая работа.
type — тип | Choose a type. | Выбери тип.
themselves — сами | They built themselves. | Они построили сами.
temperature — температура | Check temperature now. | Проверь температуру сейчас.
bright — яркий | Bright colors shine. | Яркие цвета сияют.
lead — вести | Lead the way. | Веди дорогу.
everyone — каждый | Everyone smiled back. | Каждый улыбнулся в ответ.
method — метод | New method works. | Новый метод работает.
section — раздел | Read this section. | Прочитай этот раздел.
lake — озеро | The lake froze. | Озеро замёрзло.
consonant — согласный | 'B' is consonant. | «B» — согласная.
within — в пределах | Stay within limits. | Оставайся в пределах.
dictionary — словарь | Open the dictionary. | Открой словарь.
hair — волосы | Brush your hair. | Расчеши волосы.
age — возраст | What is age? | Какой возраст?
amount — количество | Reduce the amount. | Уменьши количество.
scale — шкала | Check weight scale. | Проверь весы.
pounds — фунты | Ten pounds gone. | Десять фунтов ушло.
although — хотя | Although it rained. | Хотя шёл дождь.
per — за | Miles per hour. | Миль в час.
broken — сломанный | The glass broken. | Стекло сломано.
moment — момент | Wait one moment. | Подожди момент.
tiny — крошечный | A tiny bug. | Крошечный жучок.
possible — возможный | Anything is possible. | Всё возможно.
gold — золото | Gold shines bright. | Золото ярко блестит.
milk — молоко | Drink warm milk. | Выпей тёплого молока.
quiet — тихий | Be quiet please. | Будь тихим, пожалуйста.
natural — естественный | Natural light helps. | Естественный свет помогает.
lot — много | A lot changed. | Многое изменилось.
stone — камень | Throw the stone. | Брось камень.
act — действовать | Act right now. | Действуй прямо сейчас.
build — строить | Build a house. | Построй дом.
middle — середина | In the middle. | В середине.
speed — скорость | Increase the speed. | Увеличь скорость.
count — считать | Count to ten. | Посчитай до десяти.
cat — кот | The cat sleeps. | Кот спит.
someone — кто‑то | Someone knocked. | Кто‑то постучал.
sail — плыть | Sail the boat. | Плыви на лодке.
rolled — свернул | He rolled map. | Он свернул карту.
bear — медведь | A bear roared. | Медведь зарычал.
wonder — удивляться | I wonder why. | Интересно, почему.
smiled — улыбнулся | He smiled gently. | Он мягко улыбнулся.
angle — угол | Measure the angle. | Измерь угол.
fraction — дробь | Simplify the fraction. | Упростите дробь.
Africa — Африка | Africa is vast. | Африка огромна.
killed — убил | He killed time. | Он убил время.
melody — мелодия | Hum the melody. | Насвисти мелодию.
bottom — дно | Touch the bottom. | Коснись дна.
trip — поездка | Enjoy the trip. | Наслаждайся поездкой.
hole — дыра | Fix the hole. | Почини дыру.
poor — бедный | He is poor. | Он беден.
let's — давайте | Let's begin now. | Давайте начнём сейчас.
fight — драться | Never fight again. | Больше не деритесь.
surprise — сюрприз | What a surprise! | Какой сюрприз!
French — французский | Learn French words. | Выучи французские слова.
died — умер | The hero died. | Герой умер.
beat — бить | Drums beat loudly. | Барабаны громко бьют.
exactly — точно | Exactly five left. | Осталось ровно пять.
remain — оставаться | Remain calm please. | Оставайся спокойным, пожалуйста.
dress — платье | Nice blue dress. | Красивое синее платье.
iron — железо | Iron is heavy. | Железо тяжёлое.
couldn't — не мог | I couldn't answer. | Я не смог ответить.
fingers — пальцы | Wiggle your fingers. | Пошевели пальцами.
row — ряд | Stand in row. | Встань в ряд.
least — наименьший | Choose least risk. | Выбери наименьший риск.
catch — ловить | Catch the ball. | Поймай мяч.
climbed — взобрался | She climbed up. | Она поднялась.
wrote — написал | He wrote note. | Он написал записку.
shouted — кричал | They shouted loudly. | Они громко кричали.
continued — продолжил | She continued reading. | Она продолжила чтение.
itself — само | Door closed itself. | Дверь закрылась сама.
else — ещё | Anything else? | Что‑нибудь ещё?
plains — равнины | Steppes are plains. | Степи — это равнины.
gas — газ | Gas leaked out. | Газ утёк.
England — Англия | England is rainy. | В Англии дождливо.
burning — горящий | Burning wood crackles. | Горящие дрова трещат.
design — дизайн | The design changed. | Дизайн изменился.
joined — присоединился | She joined team. | Она присоединилась к команде.
foot — ступня | Hurt my foot. | Я повредил ступню.
law — закон | Respect the law. | Соблюдай закон.
ears — уши | Cover your ears. | Закрой уши.
grass — трава | Cut the grass. | Покоси траву.
you're — ты есть | You're right. | Ты прав.
grew — вырос | Plant grew fast. | Растение быстро выросло.
skin — кожа | Skin feels dry. | Кожа сухая.
valley — долина | Fog filled valley. | Туман наполнил долину.
cents — центы | It costs fifty cents. | Это стоит пятьдесят центов.
key — ключ | Take the key. | Возьми ключ.
president — президент | The president spoke. | Президент выступил.
brown — коричневый | Brown shoes shine. | Коричневые туфли блестят.
trouble — беда | I'm in trouble. | Я в беде.
cool — прохладный | It feels cool. | Здесь прохладно.
cloud — облако | Dark cloud formed. | Образовалось тёмное облако.
lost — потерянный | Wallet lost again. | Кошелёк снова потерян.
sent — отправил | She sent message. | Она отправила сообщение.
symbols — символы | Learn math symbols. | Учите математические символы.
wear — носить | Wear warm clothes. | Носи тёплую одежду.
bad — плохой | Bad news came. | Плохие новости пришли.
save — сохранять | Save your work. | Сохрани свою работу.
experiment — эксперимент | Start the experiment. | Начни эксперимент.
engine — двигатель | Engine stopped suddenly. | Двигатель внезапно остановился.
alone — один | He sits alone. | Он сидит один.
drawing — рисунок | Show your drawing. | Покажи свой рисунок.
east — восток | Birds fly east. | Птицы летят на восток.
pay — платить | Pay the bill. | Оплати счёт.
single — одинокий | A single rose. | Одна роза.
touch — трогать | Don't touch it. | Не трогай это.
information — информация | Share the information. | Поделись информацией.
express — выражать | Express your idea. | Вырази свою мысль.
